Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Syzygium unipunctatum,tree,1,1,simple,no,evergreen,,590,653,20,60,125,18,50,6,8,4,7,
Welchiodendron longivalve,tree,1,0,simple,no,evergreen,,,653,35,40,115,25,50,7,8,2,3,
Xanthostemon arenarius,tree,1,0,simple,no,evergreen,,752,653,20,53,100,20,50,4,6,2,3,
Xanthostemon chrysanthus,tree,1,0,simple,no,evergreen,790,752,653,25,70,220,20,95,3,4,2,3,
Xanthostemon crenulatus,tree,1,0,simple,no,evergreen,,752,653,18,60,180,40,110,4,5,2,3,
Xanthostemon eucalyptoides,tree,1,0,simple,no,evergreen,,,,25,60,190,30,105,2,3,2,2,
Xanthostemon formosus,tree,1,0,simple,no,evergreen,,752,653,18,90,220,20,45,5,5,3,4,
Xanthostemon graniticus,tree,1,0,simple,no,evergreen,,752,653,13,70,220,30,120,5,5,3,4,
Xanthostemon oppositifolius,tree,1,0,simple,no,evergreen,,,,25,50,120,20,45,2,3,1,2,
Xanthostemon umbrosus,tree,1,0,simple,no,evergreen,,752,653,17,50,105,20,45,5,5,3,4,
Xanthostemon verticillatus,tree,1,0,simple,no,evergreen,,752,653,6,28,90,5,15,3,3,1,2,
Xanthostemon whitei,tree,1,0,simple,no,evergreen,810,752,653,40,60,280,30,75,4,4,2,3,
Xanthostemon xerophilus,tree,1,0,simple,no,evergreen,,752,653,16,45,130,25,60,5,5,3,4,
Xanthostemon youngii,tree,1,0,simple,no,evergreen,,752,653,17,30,80,12,35,5,5,3,4,
Nothofagus cunninghamii,tree,1,0,simple,no,evergreen,,,,40,6,20,4,12,1,2,1,2,1
Nothofagus gunnii,shrub,1,0,simple,no,deciduous,,,,12,10,20,8,18,1,2,1,2,1
Nothofagus moorei,tree,1,0,simple,no,evergreen,645,,,40,40,70,15,30,2,3,1,2,1
Pisonia grandis,tree,1,0,simple,no,evergreen,300,300,300,30,90,300,40,180,5,10,1,2,
Pisonia umbellifera,tree,0,1,simple,no,evergreen,300,300,300,28,60,350,40,150,15,30,1,2,
Brackenridgea australiana,tree,1,0,simple,no,evergreen,690,690,690,10,60,200,20,50,4,5,3,4,
Anacolosa papuana,shrub,0,1,simple,no,evergreen,,,,7,40,165,20,75,13,20,10,16,
Olax pendula,shrub,1,0,simple,no,evergreen,,,,5,25,90,5,15,6,8,6,8,
Ximenia americana,shrub,0,1,simple,no,evergreen,,,,5,35,75,20,40,15,24,12,22,
Chionanthus axillaris,tree,0,1,simple,no,evergreen,,690,734,12,40,150,20,42,15,25,10,12,
Chionanthus ramiflora,tree,0,1,simple,no,evergreen,690,690,734,20,50,220,20,90,15,17,8,10,
Chionanthus sleumeri,tree,0,1,simple,no,evergreen,,690,734,8,80,290,30,85,22,25,20,22,
Jasminum jenniae,shrub,1,0,simple,no,evergreen,,,,4,40,85,25,55,5,6,3,4,
Ligustrum australianum,tree,1,0,simple,no,evergreen,,,734,15,22,90,16,40,5,5,3,4,
Chionanthus Little-Pine,tree,1,1,simple,no,evergreen,,,734,20,70,140,25,60,22,25,10,20,
Nestegis ligustrina,tree,1,0,simple,no,evergreen,799.8,,,16,30,100,10,25,5,7,5,7,
Notelaea Elcho-Island,shrub,1,0,simple,no,evergreen,,,,4,25,190,6,45,5,5,4,4,
Notelaea johnsonii,tree,0,1,simple,no,evergreen,817,,,15.3,40,120,10,50,10,12,4,5,
Notelaea lloydii,shrub,1,0,simple,no,evergreen,,,,4,70,140,5,8,4,5,3,4,
Notelaea longifolia,tree,1,0,simple,no,evergreen,780,780,734,9,35,160,8,80,6,12,5,7,
Notelaea venosava,tree,1,0,simple,no,evergreen,817,,,16,60,160,20,40,7,12,4,8,6
Olea paniculata,tree,1,1,simple,no,evergreen,732,732,734,30,50,150,15,60,7,14,4,8,
Quintinia quatrefagesii,tree,1,0,simple,no,evergreen,,,580,12,50,290,25,140,0.5,0.5,0.5,0.5,
Quintinia sieberi,tree,1,0,simple,no,evergreen,481.6,,,25,50,120,15,50,1,1,1,1,
Quintinia verdonii,tree,1,0,simple,no,evergreen,447.2,,,22,50,150,15,50,0.5,1,0.5,1,
Sphenostemon lobosporus,tree,1,1,simple,no,evergreen,,,,25,80,160,25,40,10,14,8,9,
Pennantia cunninghamii,tree,1,1,simple,no,evergreen,470,470,493,30,70,190,40,120,10,16,5,9,
Actephila bella,shrub,1,1,simple,no,evergreen,,,,3,60,140,20,45,7,11,5,6,
Actephila longipedicellata,shrub,1,1,simple,no,evergreen,,610,566,3,50,200,25,65,10,11,4,5,
Actephila foetida,shrub,1,1,simple,no,evergreen,,,566,3,200,410,75,220,10,10,4,5,
Actephila grandifolia,shrub,1,1,simple,no,evergreen,,,,5,50,170,20,60,8,9,4,5,
Actephila latifolia,shrub,1,1,simple,no,evergreen,,610,566,6,75,260,30,90,8,9,3,4,
Actephila lindleyi,shrub,1,1,simple,no,evergreen,,,,12,50,180,25,40,3,4,3,4,
Actephila petiolaris_jagonis,tree,1,1,simple,no,evergreen,,610,566,7,70,210,30,95,12,13,3,4,
Actephila petiolaris_petiolaris,tree,1,1,simple,no,evergreen,,610,566,7,70,210,30,95,12,13,3,4,
Actephila Possum-Scrub,shrub,1,1,simple,no,evergreen,,,,4,38,135,18,55,5,6,3,4,
Actephila traceyi,shrub,0,1,simple,no,evergreen,,610,566,12,45,150,25,60,10,14,3,3,
Actephila sessilifolia,shrub,1,1,simple,no,evergreen,,610,566,6,55,120,30,40,7,7,3,3,
Actephila venusta,tree,1,0,simple,no,evergreen,,,,12,45,150,25,60,10,14,3,4,
Actephila vernicosa,shrub,1,0,simple,no,evergreen,,610,566,3,50,80,25,40,8,9,4,5,
Breynia cernua,shrub,1,0,simple,no,evergreen,,,566,5,30,100,18,56,3,5,2,2,
Breynia oblongifolia,shrub,1,0,simple,no,evergreen,,,566,8,8,30,5,20,3,4,2,3,
Breynia sp. (Black Mountain BH 25658RFK),tree,1,0,simple,no,evergreen,,,566,17,15,25,7,11,2,3,2,3,
Breynia stipitata,tree,1,0,simple,no,evergreen,,,566,17,40,90,25,50,4,5,2,3,
Bridelia exaltata,tree,1,0,simple,no,deciduous,774,,,35,50,120,20,50,6,8,6,8,
Bridelia finalis,tree,1,0,simple,no,evergreen,,,,10,70,170,30,95,5,6,2,3,
Bridelia insulana,tree,1,0,simple,no,evergreen,,650,566,16,50,230,25,90,5,7,2,3,
Bridelia leichhardtii,tree,1,0,simple,no,deciduous,,650,566,15,15,100,6,45,3,5,2,2.5,
Bridelia tomentosa,shrub,1,0,simple,no,deciduous,,,566,5,32,100,15,60,3,5,2,2,
Cleistanthus apodus,tree,1,0,simple,no,evergreen,,,566,12,18,195,6,82,2,4,2,3,
Cleistanthus dallachyanus,tree,1,0,simple,no,evergreen,,,,12,18,115,9,55,3,4,2,3,
Cleistanthus discolor,tree,1,1,simple,no,evergreen,,,566,10,38,260,15,105,4,5,3,4,
Cleistanthus hylandii,tree,1,0,simple,no,evergreen,,,566,15,27,220,12,100,3,4,2,3,
Cleistanthus myrianthus,tree,1,0,simple,no,evergreen,,,566,12,50,245,18,90,3,4,2,3,
Cleistanthus peninsularis,tree,1,0,simple,no,evergreen,,,566,16,18,90,8,87,3,4,2,3,
Cleistanthus semiopacus,tree,1,0,simple,no,evergreen,,,566,20,17,120,6,45,3,4,2,3,
Cleistanthus xerophilus,tree,1,0,simple,no,deciduous,,,566,6,23,140,8,60,4,4,2,3,
Glochidion apodogynum,shrub,1,0,simple,no,evergreen,,586,566,10,30,135,20,55,2,3,2,3,
Glochidion benthamianum,shrub,1,0,simple,no,evergreen,,586,566,12,25,75,12,28,4,4,2,3,
Glochidion disparipes,tree,1,0,simple,no,evergreen,,586,566,20,27,170,13,65,6,6,2,3,
Glochidion ferdinandi,tree,1,0,simple,no,evergreen,597.7,,,35,30,100,15,40,5,5,3,4,
Glochidion harveyanum-harveyanum,tree,1,0,simple,no,evergreen,630,586,566,12,40,190,30,70,5,6,3,4,2
Glochidion harveyanum-pubescens,tree,1,0,simple,no,evergreen,630,586,566,15,80,130,35,65,4,6,2,3,
Glochidion hylandii,tree,1,0,simple,no,evergreen,,586,566,15,30,150,20,60,4,6,2,3,
Glochidion lobocarpum,tree,1,0,simple,no,evergreen,,586,566,9,20,100,15,40,4,5,2,3,
Glochidion philippicum,tree,1,0,simple,no,evergreen,,586,566,20,60,100,20,40,3,4,2,3,
Glochidion pruinosum,tree,1,0,simple,no,evergreen,,,,10,40,90,20,40,,,,,
Glochidion pungens,tree,1,0,simple,no,evergreen,,586,566,30,40,100,15,40,4,5,2,3,
Glochidion sessiliflorum var. stylosum,tree,1,0,simple,no,evergreen,,586,566,,45,70,15,25,3,4,2,3,
Glochidion sessiliflorum-pedicellatum,tree,1,0,simple,no,evergreen,,586,566,15,50,90,25,30,4,5,2,3,
Glochidion sessiliflorum-sessiliflorum,tree,1,0,simple,no,evergreen,,586,566,10,55,140,25,60,4,5,2,3,
Glochidion sumatranum,tree,1,0,simple,no,evergreen,570,586,566,25,40,180,20,75,3,3,2,2,
Glochidion xerocarpum,tree,1,1,simple,no,evergreen,,,,10,40,100,20,50,3,4,2,3,
Phyllanthus brassii,shrub,1,0,simple,no,evergreen,,,566,2.5,50,120,7,50,2,2,2,2,
Phyllanthus clamboides,tree,1,0,simple,no,evergreen,,,566,9,75,195,32,80,4,4,2,3,
Phyllanthus cuscutiflorus,tree,1,0,simple,no,evergreen,,,566,10,35,130,15,60,1,2,1,2,
Phyllanthus gunnii,shrub,1,0,simple,no,evergreen,,,,5,5,20,4,10,1,1.5,1,1,
Phyllanthus hypospodius,shrub,1,0,simple,no,evergreen,,,566,3,35,140,10,55,3,4,2,3,
Phyllanthus lamprophyllus,shrub,1,0,simple,no,evergreen,,,566,4,7,10,3,4,4,4,3,3,
Phyllanthus microcladus,shrub,1,0,simple,no,evergreen,,,,1,4,8,2,5,1,1.5,1,1,
Phyllanthus novae-hollandiae,tree,1,0,simple,no,evergreen,,,,6,14,35,7,20,3,4,2,3,
Phyllanthus praelongipes,tree,1,0,simple,no,evergreen,,,566,20,40,130,30,73,2,2,1,2,
Phyllanthus reticulatus,shrub,1,0,simple,no,evergreen,,,,4,10,65,10,33,4,4,3,4,
Phyllanthus sauropodoides,shrub,1,0,simple,no,evergreen,,,,5,35,105,15,50,3,4,2,3,
Phyllanthus subcrenulatus,shrub,1,0,simple,no,evergreen,,,,2,8,60,4,20,2,2,1,2,
Sauropus albiflorus,shrub,1,0,simple,no,evergreen,,,566,3,4,24,2,9,4,5,2,3,
Sauropus macranthus,shrub,1,0,simple,no,evergreen,,,566,3,40,130,25,50,6,10,4,5,2.5
Monococcus echinophorus,shrub,1,0,simple,no,evergreen,,,,3,30,120,10,50,3,4,3,4,
Austrobuxus megacarpus,tree,1,1,simple,no,evergreen,,,566,30,22,110,10,36,9,10,5,7,
Dissiliaria baloghioides,tree,1,0,simple,no,evergreen,,,,35,60,110,20,70,10,12,3,4,
Dissiliaria laxinervis,tree,1,1,simple,no,evergreen,,875,566,30,45,220,30,85,8,10,5,6,1.2
Dissiliaria muelleri,tree,1,0,simple,no,evergreen,,,,20,10,100,8,75,5,6,2,3,
Dissiliaria surculosa,tree,1,0,simple,no,evergreen,,875,566,17,18,65,7,27,5,6,4,4,1.2
Petalostigma banksii,shrub,1,0,simple,no,deciduous,,,566,6,10,50,5,30,4,7,2,3,
Petalostigma pubescens,tree,1,1,simple,no,evergreen,903,,,12,20,60,10,25,8,12,3,4,3
Petalostigma triloculare,tree,1,1,simple,no,evergreen,903,,,15,30,90,10,35,5,7,3,4,3
Sankowskya stipularis,tree,1,1,simple,no,evergreen,,,,20,50,180,15,65,7,8,4,5,
Piper umbellatum,shrub,1,0,simple,no,evergreen,,,,2,160,320,170,380,1,2,1,1,
Auranticarpa edentata,tree,1,0,simple,no,evergreen,,635,603,20,30,80,12,40,3,3,2,3,
Auranticarpa ilicifolia,tree,1,0,simple,no,evergreen,,635,603,20,50,180,20,60,5,6,4,6,
Auranticarpa papyracea,tree,1,0,simple,no,evergreen,,635,603,35,50,140,20,50,6,7,3,4,
Auranticarpa rhombifolia,tree,1,0,simple,no,evergreen,743.9,,,40,60,110,30,50,3,6,3,3,
Bursaria incana,shrub,1,0,simple,no,evergreen,,,603,10,10,90,3,16,4,4,2,3,1
Bursaria spinosa,tree,1,0,simple,no,evergreen,,,603,10,13,43,3,18,3,3,2,3,1
Bursaria tenuifolia,tree,1,0,simple,no,evergreen,,,603,20,25,95,9,25,4,4,2,3,1
Hymenosporum flavum,tree,0,1,simple,no,deciduous,570,570,603,28,55,190,20,52,5,6,3,4,
Pittosporum angustifolium,tree,1,1,simple,no,evergreen,,,,10,40,120,6,10,3,4,2,2,
Pittosporum bicolor,tree,1,0,simple,no,evergreen,,,,18,20,70,6,10,2,3,2,3,
Pittosporum ferrugineum,tree,1,0,simple,no,evergreen,,635,603,20,40,150,15,70,5,7,2,4,
Pittosporum lancifolium,tree,1,0,simple,no,evergreen,,,,25,20,50,7,15,2,3,1,1,
Pittosporum moluccanum,tree,1,0,simple,no,evergreen,,,,6,100,150,40,50,3,4,3,4,
Pittosporum multiflorum,shrub,1,0,simple,no,evergreen,,,,4.2,3,12,2.5,8,1,1,1,1,
Pittosporum oreillyanum,shrub,1,0,simple,no,evergreen,,,,5,2,10,2,5,1,2,1,1,
Pittosporum revolutum,shrub,1,0,simple,no,evergreen,,635,603,6,50,220,15,70,5,6,2,3,
Pittosporum rubiginosum,shrub,1,0,simple,no,evergreen,,635,603,2,40,300,15,95,6,7,2,3,
Pittosporum spinescens,tree,1,0,simple,no,evergreen,,,603,8,2,20,1,10,2,4,2,2,
Pittosporum trilobum,tree,1,0,simple,no,evergreen,,635,603,20,80,165,25,65,5,7,3,4,
Pittosporum undulatum,tree,1,0,simple,no,evergreen,731,,,25,60,150,15,40,1,3,1,1,
Pittosporum venulosum,tree,1,0,simple,no,evergreen,,635,603,30,55,125,20,80,4,5,2,3,
Pittosporum viscidum,tree,1,0,simple,no,evergreen,,,,8,10,30,4,7,3,4,1,2,
Pittosporum wingii,tree,1,0,simple,no,evergreen,,635,603,9,65,160,20,55,5,7,3,5,3
Plumbago zeylanica,shrub,1,0,simple,no,evergreen,,,,1,20,100,10,55,2,3,2,3,
Lagarostrobus franklinii,tree,1,0,simple,no,evergreen,,,,30,1,3,1,1,1,2,1,2,
Phaerosphaera hookeriana,shrub,1,0,simple,no,evergreen,,,,2,1,1.5,1,1.5,1,1,1,1,
Phyllocladus aspleniifolius,tree,1,0,simple,no,evergreen,,,,30,1,1,1,1,1,1,1,1,
Podocarpus dispermus,tree,1,1,simple,no,evergreen,,453,472,20,70,450,60,38,10,12,8,10,
Podocarpus elatus,tree,1,1,simple,no,evergreen,460,453,472,15,30,180,5,18,10,12,8,10,
Podocarpus grayae,tree,1,1,simple,no,evergreen,450,453,472,30,85,250,6,20,6,7,6,7,
Podocarpus lawrencei,tree,1,0,simple,no,evergreen,,,,17,5,15,2,4,3,4,3,4,
Podocarpus smithii,tree,0,1,simple,no,evergreen,,453,472,30,60,170,10,14,15,28,12,13,
Prumnopitys ladei,tree,0,1,simple,no,evergreen,570,490,472,33,10,25,2,4,18,20,10,13,
Sundacarpus amarus,tree,0,1,simple,no,evergreen,,,472,35,50,170,7,18,20,25,18,20,
Xanthophyllum fragrans,tree,0,1,simple,no,evergreen,640,640,640,20,60,210,50,80,12,16,6,10,
Xanthophyllum octandrum,tree,0,1,simple,no,evergreen,640,640,640,25,50,200,20,70,10,12,8,10,
Polyosma alangiacea,tree,1,1,simple,no,evergreen,580,580,580,30,40,190,20,60,8,10,6,8,
Polyosma cunninghamii,tree,1,1,simple,no,evergreen,619.2,,,25,30,90,10,30,10,12,4,5,
Polyosma hirsuta,tree,1,1,simple,no,evergreen,,580,580,10,45,180,20,55,8,10,7,9,
Polyosma MtBellenden-Ker,tree,1,0,simple,no,evergreen,,580,580,10,35,80,15,30,5,7,4,5,
Polyosma MtLewis,tree,1,0,simple,no,evergreen,,580,580,30,65,90,25,40,5,7,4,5,
Polyosma reducta,tree,1,0,simple,no,evergreen,,580,580,20,60,115,20,40,6,6,5,5,
Polyosma rhytophloia,tree,1,0,simple,no,evergreen,,580,580,11,40,220,15,60,7,9,5,7,
Polyosma rigidiuscula,tree,1,1,simple,no,evergreen,,580,580,8,40,190,15,45,10,11,6,7,
Ardisia bakeri,tree,1,0,simple,no,evergreen,,,,10,50,100,10,25,4,5,4,5,
Tetrardisia bifaria,shrub,1,0,simple,no,evergreen,,,714,2,10,90,7,18,6,6,5,6,
Ardisia brevipedata,shrub,1,0,simple,no,evergreen,,,714,3,50,200,20,50,5,6,5,6,
Ardisia fasciculata,tree,1,0,simple,no,evergreen,,,,10,70,100,25,40,5,6,4,5,
Ardisia pachyrrhachis,tree,1,0,simple,no,evergreen,,,714,8,60,330,26,85,5,6,5,5,
Ardisia Sth-Mary,shrub,1,0,simple,no,evergreen,,,714,4,30,95,10,25,5,5,5,5,
Myrsine achradifolia,tree,1,0,simple,no,evergreen,716,713,714,20,45,190,20,80,6,7,6,7,
Myrsine arenaria,tree,1,0,simple,no,evergreen,,,,10,60,160,18,42,2,2,2,2,
Myrsine smithii,shrub,1,0,simple,no,evergreen,,713,714,5,35,80,15,40,4,4,4,4,
Myrsine benthamiana,tree,1,0,simple,no,evergreen,,713,714,18,50,105,25,40,5,5,5,5,
Myrsine crassifolia,tree,1,0,simple,no,evergreen,,,,6,35,120,15,35,3,4,3,4,
Myrsine howittiana,tree,1,0,simple,no,evergreen,,,,23,40,120,20,40,4,6,3,4,
Myrsine ireneae,tree,1,0,simple,no,evergreen,,,,10,80,150,20,40,2,3,2,2,
Myrsine kimberleyensis,tree,1,0,simple,no,evergreen,,,,6,42,110,21,47,3,4,3,4,
Myrsine MtBartleFrere,tree,1,0,simple,no,evergreen,,,,25,55,120,20,45,3,4,3,4,
Myrsine MtHaig,tree,1,0,simple,no,evergreen,,,,20,40,70,15,25,3,4,3,3,
Myrsine oreophila,tree,1,0,simple,no,evergreen,,,,25,40,70,15,25,3,4,3,4,
Myrsine porosa,tree,1,0,simple,no,evergreen,,713,714,10,40,180,15,65,3,4,3,4,
Myrsine maculata,shrub,1,0,simple,no,evergreen,,713,714,4,40,65,15,30,1,2,1,2,
Myrsine richmondensis,tree,1,0,simple,no,evergreen,,,,5,50,140,15,30,2,3,2,3,
Myrsine rubiginosa,shrub,1,0,simple,no,evergreen,,713,714,5,35,90,10,32,4,4,4,4,
Myrsine subsessilis,shrub,1,0,simple,no,evergreen,,713,714,15,40,170,30,50,2,4,2,4,
Myrsine urceolata,shrub,1,0,simple,no,evergreen,,713,714,7,50,195,15,75,3,3,3,3,
Myrsine variabilis,tree,1,0,simple,no,evergreen,710,713,714,10,30,120,10,40,4,4,4,4,
Myrsine Zarda,shrub,1,0,simple,no,evergreen,,713,714,7,40,140,20,45,3,4,3,4,
Tapeinosperma pallidum,shrub,1,0,simple,no,evergreen,,,,5,55,190,20,40,5,6,5,6,
Tapeinosperma pseudojambosa,shrub,1,0,simple,no,evergreen,,,714,10,50,200,15,60,5,6,5,6,
Alloxylon flammeum,tree,0,1,simple,yes,evergreen,,440,573,36,50,300,18,65,8,9,8,9,3
Alloxylon wickhamii,tree,0,1,simple,no,evergreen,440,440,573,30,60,240,15,45,8,9,8,9,3
Athertonia diversifolia,tree,0,1,simple,yes,evergreen,550,550,573,30,90,370,35,130,30,35,28,32,
Banksia aquilonia,tree,1,1,simple,no,evergreen,,,573,25,50,220,5,17,4,6,3,5,2
Banksia integrifolia,tree,1,0,simple,no,evergreen,,,,30,100,200,20,30,6,10,3,4,3
Buckinghamia celsissima,tree,1,1,simple,no,evergreen,730,730,573,30,50,200,15,70,12,18,4,6,2
Buckinghamia ferruginiflora,tree,0,1,simple,no,evergreen,,730,573,30,50,200,15,60,15,20,4,6,2
Catalepidia heyana,tree,0,1,simple,no,evergreen,,,573,18,80,330,15,55,20,25,20,25,
Cenarrhenes nitida,tree,0,1,simple,no,evergreen,,,,10,80,120,15,40,15,15,15,15,
Darlingia darlingiana,tree,0,1,simple,yes,evergreen,610,555,573,30,70,500,25,145,20,30,10,15,2
Darlingia ferruginea,tree,0,1,simple,yes,evergreen,500,555,573,30,110,700,45,240,30,40,10,15,2
Eidothea hardeniana,tree,0,1,simple,no,evergreen,602,,,40,80,135,17,42,27,34,27,34,
Eidothea zoexylocarya,tree,0,1,simple,no,evergreen,,,573,40,45,145,15,55,16,40,15,45,
Floydia praealta,tree,0,1,simple,no,evergreen,516,,,35,100,250,10,30,22,30,16,18,
Grevillea agrifolia,tree,0,1,simple,no,evergreen,,,,6,15,150,17,88,6,11,3,6,2
Grevillea baileyana,tree,0,1,simple,yes,evergreen,730,672,573,30,60,300,10,85,7,9,5,6,2
Grevillea helmsiae,tree,0,1,simple,no,evergreen,,,,15,50,120,12,27,6,8,3,4,2
Grevillea hilliana,tree,0,1,simple,yes,evergreen,760,672,573,30,45,240,10,60,8,10,5,7,2
Hakea eriantha,tree,0,1,simple,no,evergreen,,,,15,80,150,12,20,3,8,2,3,2
Helicia blakei,tree,1,1,simple,no,evergreen,,564,573,10,55,130,20,55,6,12,4,8,
Helicia ferruginea,tree,1,1,simple,no,evergreen,576.2,,,18,90,300,30,90,9,10,9,10,
Helicia glabriflora,tree,0,1,simple,no,evergreen,576.2,,,30,50,150,15,40,9,10,6,8,
Helicia grayi,tree,1,0,simple,no,evergreen,,564,573,15,75,140,20,50,7,8,4,7,
Helicia lamingtoniana,tree,1,1,simple,no,evergreen,550,564,573,20,60,240,40,110,8,11,5,10,
Helicia lewisensis,tree,1,1,simple,no,evergreen,,564,573,15,75,155,30,70,9,12,6,10,
Helicia nortoniana,tree,1,0,simple,no,evergreen,,564,573,20,40,190,20,85,6,11,6,10,
Helicia recurva,tree,1,0,simple,no,evergreen,,,,10,50,135,20,55,5,8,4,6,
Orites Devils-Thumb,tree,0,1,simple,no,evergreen,,,,12,65,150,20,55,20,25,8,10,
Hollandaea Pinnacle-Rock,tree,0,1,simple,no,evergreen,,550,573,12,65,150,20,55,22,25,10,13,9
Hollandaea riparia,tree,0,1,simple,yes,evergreen,,550,573,6,80,200,15,40,14,20,7,10,
Hollandaea sayeriana,tree,0,1,simple,no,evergreen,,550,573,15,70,260,50,150,25,30,10,15,
Lomatia arborescens,tree,0,1,simple,no,evergreen,602,,,15,30,150,15,60,5,5,4,5,2
Lomatia fraseri,tree,1,1,simple,yes,evergreen,,,,12,60,120,10,35,4,4,3,3,2
Lomatia myricoides,tree,1,1,simple,no,evergreen,,,,5,50,200,5,20,3,4,3,4,2
Lasjia claudiensis,tree,0,1,simple,no,evergreen,,737,573,30,80,260,25,135,55,65,45,48,
Lasjia grandis,tree,0,1,simple,no,evergreen,,737,573,40,60,230,20,75,35,40,35,40,
Macadamia integrifolia,tree,0,1,simple,no,evergreen,,,,12,50,180,15,25,15,20,15,20,
Macadamia jansenii,tree,0,1,simple,no,evergreen,,,,15,100,180,35,55,12,15,8,12,
Macadamia ternifolia,tree,0,1,simple,no,evergreen,,,,12,90,125,18,35,10,15,10,15,
Lasjia whelanii,tree,0,1,simple,no,evergreen,770,737,573,35,60,220,20,65,30,40,30,40,
Megahertzia amplexicaulis,tree,0,1,simple,no,evergreen,,,573,10,60,230,25,60,10,14,3,5,2
Musgravea heterophylla,tree,0,1,simple,no,evergreen,550,550,573,30,50,220,20,90,40,52,11,14,2
Musgravea stenostachya,tree,0,1,simple,no,evergreen,550,550,573,25,35,180,15,45,30,38,10,14,2
Neorites kevedianus,tree,0,1,simple,yes,evergreen,,,573,30,60,250,20,110,5,9,6,8,2
Orites excelsus,tree,0,1,simple,yes,evergreen,497,480,573,30,40,185,15,45,8,9,4,5,2
Orites megacarpa,tree,0,1,simple,no,evergreen,,480,573,30,50,110,20,30,12,16,10,12,2
Persoonia adenantha,tree,1,1,simple,no,evergreen,,,,7,30,140,6,30,6,8,4,6,
Persoonia amaliae,tree,1,1,simple,no,evergreen,,,,6,30,80,8,19,5,7,4,5,
Persoonia arborea,tree,1,1,simple,no,evergreen,,,,9,40,100,8,20,6,8,6,8,
Persoonia media,tree,1,1,simple,no,evergreen,778.3,,,25,30,140,4,35,6,8,4,6,
Persoonia silvatica,tree,1,1,simple,no,evergreen,,,,8,40,100,8,22,7,9,4,6,
Persoonia volcanica,shrub,1,1,simple,no,evergreen,,,,5,40,90,5,10,5,6,4,6,
Placospermum coriaceum,tree,0,1,simple,no,evergreen,560,560,573,30,65,250,16,68,12,16,12,18,2
Stenocarpus cunninghamii,tree,0,1,simple,no,evergreen,,,,10,40,115,6,33,8,10,5,6,2
Stenocarpus Hinchinbrook,tree,1,1,simple,no,evergreen,,673,573,6,55,130,15,60,7,9,3,4,2
Stenocarpus reticulatus,tree,0,1,simple,no,evergreen,790,673,573,35,50,170,20,60,10,13,15,20,2
Stenocarpus salignus,tree,0,1,simple,no,evergreen,713.8,,,30,40,100,10,45,10,12,4,5,2
Stenocarpus sinuatus,tree,0,1,simple,yes,evergreen,589,673,573,40,50,480,20,250,9,11,6,8,2
Stenocarpus verticis,tree,0,0,simple,no,evergreen,,673,573,20,50,150,15,110,3,4,2,3,2
Telopea mongaensis,tree,0,0,simple,no,evergreen,,,,6,50,160,5,20,7,9,5,7,3
Telopea oreades,tree,0,1,simple,no,evergreen,645,,,19,100,200,15,60,5,7,5,6,3
Telopea truncata,tree,0,1,simple,no,evergreen,,,,10,60,100,20,30,5,7,5,6,3
Triunia erythrocarpa,tree,0,1,simple,no,evergreen,,,573,20,60,190,18,70,15,20,15,18,
Triunia montana,shrub,0,1,simple,no,evergreen,,,573,6,45,160,20,70,15,15,9,11,
Triunia robusta,tree,0,1,simple,no,evergreen,,,,6,80,160,22,35,15,20,15,20,
Triunia youngiana,shrub,0,1,simple,no,evergreen,516,,,3,50,130,15,30,8,10,8,10,
Drypetes acuminata,tree,0,1,simple,no,evergreen,,720,566,20,35,120,15,50,8,20,6,9,
Drypetes deplanchei,tree,1,1,simple,no,deciduous,,720,566,25,8,150,6,62,8,20,6,8,
Drypetes iodoformis,tree,0,1,simple,no,evergreen,,720,566,20,40,170,15,70,15,20,8,10,
Drypetes vernicosa,shrub,1,0,simple,no,evergreen,,720,566,4,25,170,8,70,8,12,6,8,
Alphitonia excelsa,tree,1,0,simple,no,evergreen,562,509,697,20,30,140,10,48,4,7,2,3,
Alphitonia oblata,tree,1,0,simple,no,evergreen,,509,697,25,80,210,25,60,2,5,2,3,
Alphitonia petriei,tree,1,0,simple,no,evergreen,430,509,697,40,65,180,20,75,2,5,2,3,
Alphitonia Forty-Mile-Scrub,tree,1,0,simple,no,evergreen,,509,697,25,60,110,12,25,2,5,2,3,
Alphitonia Kimberley,tree,1,0,simple,no,evergreen,,,,18,60,170,28,55,2,5,2,3,
Alphitonia whitei,tree,1,0,simple,no,evergreen,534,509,697,30,70,210,35,80,5,6,4,6,
Emmenosperma alphitonioides,tree,1,0,simple,no,evergreen,685,685,697,35,20,130,12,68,3,6,2,3,
Emmenosperma cunninghamii,tree,1,0,simple,no,evergreen,,685,697,25,35,120,18,65,4,6,2,3,
Pomaderris argyrophylla,tree,1,0,simple,no,evergreen,,,,6,15,120,7,30,1,2,1,2,1
Pomaderris aspera,tree,1,0,simple,no,evergreen,636.4,,,20,50,150,20,70,1,2,1,2,1
Pomaderris clivicola,tree,1,0,simple,no,evergreen,,,,4,15,30,6,10,1,1,1,1,
