taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Ptilotus polystachyus,"Description: Perennial herb to 1 m high, stems simple to much branched, shortly hairy at first, becoming glabrous. Leaves linear or lanceolate, to 10 cm long, 3-6 mm wide, margins undulate. Inflorescence cylindrical, 4-15 cm long, 2.5-3 cm diam., terminal, yellowish green. Bracts broad-ovate, obtuse or shortly mucronate, glabrous, shining. Perianth segments acute, 12-16 mm long; outer surface hairy, glabrous towards apex; inner surface glabrous. Stamens 3 or 4, staminodes 2 or 1. Ovary glabrous, subsessile."," leaves linear or lanceolate, to 10 cm long, 3-6 mm wide, margins undulate. ",undulate,undulate.,checked,undulate,margins undulate.,checked,leaf,leaves,checked
Livistona australis,"Description: Tree with solitary stem up to 30 m high (occasionally more), up to 50 cm diam., marked with annular scars and furrows. Leaves 3-4.5 m long, fairly stiff, bright green, shiny, in terminal crown; lamina circular, c. 2 m diam., thin textured, divided into c. 70 divided segments; petiole 1.5-2.5 m long, c. 6 cm across tapering to c. 2 cm at apex, erect or decurved, margins with recurved spines mostly towards the base. Panicle c. 1 m long, arising amongst the leaves; spathes several, 15-25 cm long; flowers 3-5 mm diam., cream-white; stamens 6; ovary 3-lobed. Fruit globose, 1-1.5 cm diam., red turning black, 1-seeded."," leaves 3-4.5 m long, fairly stiff, bright green, shiny, in terminal crown; lamina circular, circa 2 m diam., thin textured, divided into circa 70 divided segments; petiole 1.5-2.5 m long, circa 6 cm across tapering to circa 2 cm at apex, erect or decurved, margins with recurved spines mostly towards the base. ",,recurved,changed,,margins with recurved,changed,leaf,leaves,checked
Justicia betonica,"Description: Sprawling herb to 2 m high, forming dense ground cover; stems rooting where they contact the ground, with dense bands of hairs at nodes, glabrous elsewhere. Leaves at each node usually equal, elliptic to obovate, up to 14 cm long and 11 cm wide, margins slightly wavy, upper surface dark green, linear cystoliths absent, lower surface paler; petiole up to 15 mm long. Inflorescence terminal, often on short lateral shoots, up to 13 cm long; each flower subtended by a bract and two bracteoles, each membranaceous, white, with green veins; bracts ovate c. 1.5-2 cm long, c. 1 cm wide; bracteoles similar to bracts but slightly smaller. Calyx 4-5 mm long. Corolla pink; tube c. 7 mm long; lobes c. 7 mm long. Stamens 2, filaments hairy toward base. Capsule up to c. 14 mm long."," leaves at each node usually equal, elliptic to obovate, up to 14 cm long and 11 cm wide, margins slightly wavy, upper surface dark green, linear , lower surface paler; petiole up to 15 mm long. ",,,,undulate,"wavy,",checked,leaf,leaves,checked
Gaudium blakelyi,"Description: Shrub c. 1 m high, bark close, shed in strips, younger stems densely silky. Leaves obovate to broad-elliptic, often concave, 4-8 mm long, 2-5 mm wide, silky on base and margins; apex variably rounded to acute or acuminate, point blunt to pungent; base tapering  gradually to a short slender petiole often broader at the base. Flowers 1-4 together, c. 7 mm diam., white or pink. Hypanthium c. 10 mm long, pedicel often at least 5 mm long, silky. Sepals 1-1.5 mm long, pubescent. Petals 2-2.5 mm long. Stamens c. 1 mm or less in length. Ovary 3- to 5-locular. Fruit 2-3.5 mm diam., glabrescent; pedicel mostly 6-8 mm long; valves not much exserted."," leaves obovate to widelyelliptic, often concave, 4-8 mm long, 2-5 mm wide, silky on base and margins; apex variably rounded to acute or acuminate, point blunt to pungent; base tapering  gradually to a short slender petiole often broader at the base. ",concave,"concave,",checked,,,,leaf,leaves,checked
Gaudium namadgiense,"Description: Shrub to c. 1 m high or lower and procumbent in exposed sites; bark shed in strips or flaky layers, younger stems silky. Leaves oblanceolate to elliptic,  concave, 3.5-9 mm long, 1.5-3.7 mm wide, both surfaces silky, silvery to greyish green, or occasionally  glabrous; apex acute or shortly acuminate; base tapering into petiole c. 1 mm long. Flowers 1 or 2 together, 6-10 mm diam., white or flushed pink. Hypanthium c. 2.5 mm long, tapering into pedicel, villous with spreading white hairs. Sepals c. 1.5 mm long, persistent, villous. Petals 2.5-3 mm long. Stamens to c. 1 mm long. Ovary 3-locular. Fruit 2-2.5 mm diam., villous, with base tapering into pedicel; valves not much exserted."," leaves oblanceolate to elliptic,  concave, 3.5-9 mm long, 1.5-3.7 mm wide, both surfaces silky, silvery to greyish green, or occasionally  glabrous; apex acute or shortly acuminate; base tapering into petiole circa 1 mm long. ",concave,"concave,",checked,,,,leaf,leaves,checked
Mesembryanthemum aitonis,"Description: Low shrub with branches tinged with red, stems erect or trailing. Leaves on non-flowering parts of stem ovate or spathulate, 10-40 mm long, 5-30 mm wide, acute or obtuse, red or green, reflexed, the adaxial surface concave; petiole wide, base partly ensheathing stem. Flowers 10-15 mm diam. Perianth lobes c. 6-8 mm long, awnless or with an apical awn 2-3 mm long. Petaloid staminodes 10-15 mm long, c. 0.5 mm wide, white. Stamens much shorter than the staminodes. Ovary distinctly 5-lobed. Fruit oblong, 5-7 mm long, 4-6 mm wide; perianth lobes sharply reflexed at maturity."," leaves on  parts of stem ovate or spathulate, 10-40 mm long, 5-30 mm wide, acute or obtuse, red or green, reflexed, the adaxial surface concave; petiole wide, base partly ensheathing stem. ",concave,concave;,checked,,,,leaf,leaves,checked
Astrotricha crassifolia,"Description: Shrub to 2.4 m high, root-suckering; branchlets with a dense, deep, firm indumentum. Leaves broad-linear, 2-6 cm long, 0.25-0.4 cm wide; apex obtuse; margins entire; upper surface smooth or occasionally wrinkled, convex except for midvein groove; lower surface hairy; petiole 1-2 mm long. Inflorescence up to c. 10 cm long, usually with a few ascending branches, few-flowered, indumentum dense and shortly floccose throughout. Petals erect to spreading, sometimes becoming reflexed, white to cream. Fruit not winged."," leaves broadlylinear, 2-6 cm long, 0.25-0.4 cm wide; apex obtuse; margins entire; upper surface smooth or occasionally wrinkled, convex except for midvein groove; lower surface hairy; petiole 1-2 mm long. ",convex,convex,checked,,,,leaf,leaves,checked
Aloe ciliaris,"Description: Scrambling succulent perennial, up to 5 m long. Leaves dispersed along stem, linear-lanceolate, convex beneath, 8-15 cm long, 1.5-2 cm broad, auriculate and stem-sheathing at base, dentate-ciliolate, with sharp teeth 1-3 mm long, becoming sparse and then absent towards attenuate apex, not spotted. Inflorescence axillary, simple, 15-30 cm long, cylindrical-racemose, 25-30-flowered; pedicels c. 5 mm long. Flowers horizontal, pendulous at anthesis, bright red. Perianth cylindrical, c. 3 cm long; segments c. 6 mm long. Fruit not seen."," leaves dispersed along stem, linear-lanceolate, convex beneath, 8-15 cm long, 1.5-2 cm broad, auriculate and stem-sheathing at base, dentate-ciliolate, with sharp teeth 1-3 mm long, becoming sparse and  towards attenuate apex, . ",convex,convex,checked,,,,leaf,leaves,checked
Lomandra brevis,"Description: Perennial tussock, small, dense, to 20 cm diam. Leaves concavo-convex, inrolled, 5-30 cm long, 0.5-1 mm wide, glabrous; apex acute usually blackening when dried; bases purplish above the whitish, lacerated sheath margins. Inflorescence with scape about as long as rachis; axes quite smooth; flowers well-spaced. Male inflorescence c. 10-15 cm long, unbranched or with a few short branches. Female inflorescence c. 5 cm long, unbranched. Flowers yellow, usually blackening when dried. Male flowers globose, c. 2 mm long; outer tepals broad-elliptic to  circular, shorter and more membranous than the thick inner tepals; pedicel to 3 mm long. Female flowers more tubular, c. 3 mm long; pedicel to 1 mm long."," leaves concavo-convex, inrolled, 5-30 cm long, 0.5-1 mm wide, glabrous; apex acute usually blackening when dried; bases purplish above the whitish, lacerated sheath margins. ",convex involute,"-convex, inrolled,",checked,,,,leaf,leaves,checked
Mesembryanthemum nodiflorum,"Description: Mostly prostrate annual herb with stems to 20 cm long, densely papillose, often red-tinged. Leaves semiterete, to 25 mm long, 1-2 mm wide, sessile, flat on adaxial surface, sparsely villous, covered with glistening hairs. Flowers 3-6 mm diam. Perianth lobes semiterete, 7-10 mm long, dorsal horn 1-3 mm long. Petaloid staminodes 4-5 mm long, c. 0.5 mm wide, fused for half their length, white. Stamens usually c. 12-20, slightly shorter than staminodes. Ovary faintly ribbed. Fruit oblong, 4-8 mm long, 3-4 mm wide; the perianth lobes not reflexed at maturity."," leaves semiterete, to 25 mm long, 1-2 mm wide, sessile, flat on adaxial surface. sparsely villous, covered with glistening hairs. ",flat,flat,checked,,,,leaf,leaves,checked
Allium neapolitanum,"Description: Erect herb, mostly 30-55 cm high; bulb subglobose, 15-20 mm diam., bulblets present. Leaves often 2, 8-35 cm long, 5-30 mm wide, flat with 19-21 longitudinal veins, glabrous with ciliate margins. Umbel 6-8 cm diam., many-flowered; scape 25-50 cm long; pedicels 20-35 mm long; spathe entire, shorter than or as long as pedicels. Perianth broadly cup-shaped; tepals 8-12 mm long, obtuse, white; bulbils absent. Stamens included; filaments simple, broader at base, 4-5 mm long, 1.2-1.5 mm wide. Capsule 4-5 mm long."," leaves often 2, 8-35 cm long, 5-30 mm wide, flat with 19-21 longitudinal veins, glabrous with ciliate margins. ",flat,flat,checked,,,,leaf,leaves,checked
Allium triquetrum,"Description: Erect herb, mostly 18-40 cm high; bulb subglobose, 7-15 mm diam., bulblets present. Leaves 2-11, 20-42 cm long, 4-17 mm wide, flat with 9-15 longitudinal veins, glabrous with smooth margins. Umbel 3.5-7.5 cm diam., many-flowered; scape 10-45 cm long; pedicels 15-30 mm long; spathe entire, usually shorter than pedicels. Perianth narrow-campanulate; tepals 10-15 mm long, acute to obtuse, white with a prominent green midvein; bulbils absent. Stamens included; filaments  linear, slightly broader at base, 5-6 mm long, c. 0.5 mm wide. Capsule 6-7 mm long."," leaves 2-11, 20-42 cm long, 4-17 mm wide, flat with 9-15 longitudinal veins, glabrous with smooth margins. ",flat,flat,checked,,,,leaf,leaves,checked
Lomandra filiformis subsp. coriacea,"Description: Leaves flat or nearly so, leathery or firm, the apex usually entire (points readily eroded); male inflorescence with distinctly scabrid axes. Leaves flat or nearly so, leathery or firm, usually 15-35 cm long, 2.5-4 mm wide, smooth or scabrid; apex usually entire. Male inflorescence often up to a half as long as leaves, with a few branches; branches often whorled; axes scabrid; scape shorter than rachis, often yellowish. Female inflorescence smaller, and axes often less scabrid. Bracts all small."," leaves flat or nearly so, leathery or firm, the apex usually entire (points readily eroded); leaves flat or nearly so, leathery or firm, usually 15-35 cm long, 2.5-4 mm wide, smooth or scabrid; apex usually entire. ",flat,flat,checked,,,,leaf,leaves,checked
Lomandra montana,"Description: Tufted perennial herb. Leaves flat or rolled when dried, rather thin, usually 35-70 cm long, 2-4 mm wide; apex toothed, central one often much exceeding laterals; sheath margins lacerated, brown. Male and female inflorescences much shorter than leaves, unbranched; scape much longer than rachis, flattened; flower clusters whorled. Cluster bracts conspicuous, pointed, rather soft, whitish; bract and inner bract brown. Flowers ellipsoidal or cylindrical, sessile; male flowers 3-3.5 mm long, females c. 4.5 mm long. Outer tepals shiny, scarious, purplish or yellow; inner tepals dull, fleshy, yellow or cream."," leaves flat or rolled when dried, rather thin, usually 35-70 cm long, 2-4 mm wide; apex toothed, central one often much exceeding laterals; sheath margins lacerated, brown. ",flat,flat,checked,,,,leaf,leaves,checked
Ornithogalum umbellatum,"Description: Erect herb, 0.15-0.4 m high; bulb subterranean, 1-3.5 cm diam.; offsets (bulbils) present. with bulbils present inside outer jacket. Leaves 6-9, flat or channelled, to 30 cm long, to 6 mm wide. Inflorescence corymb-like with 6-20 flowers, longer than leaves; bracts shorter than flowers; lower pedicels to 10 cm long. Tepals 15-20 mm long, white with a green stripe on outer surface. Staminal filaments aristate to acuminate. Ovary ovoid to obovoid. Capsule oblong to obovoid, 10 mm long; apex obtuse."," leaves 6-9, flat or channelled, to 30 cm long, to 6 mm wide. ",flat,flat,checked,,,,leaf,leaves,checked
Bulbostylis humilis,"Description: Slender tufted, amphicarpous annual or short-lived perennial. Culms angular, glabrous, 8-15 cm long, 0.2-0.4 mm diam. Leaves densely scabrid, flat but appearing almost filiform, 2-6 cm long, 0.3-0.8 mm wide. Inflorescence of 1-3 clustered spikelets, often with amphicarpous spikelets hidden in basal leaf sheaths. Aerial spikelets ovoid, acute, 3-8 mm long, 2-4 mm diam. Glumes 2-4 mm long, pale to dark red-brown with usually green excurrent scabrous mucro, glabrous or scattered-pubescent on sides. Stamens 2; anthers 0.4-0.7 mm long. Style 2-fid. Nut obovoid, 1-1.4 mm long, 0.9-1 mm diam., with shortly transversely elongated epidermal cells in longitudinal rows, when young whitish, when mature grey to brownish. Basal spikelets with larger glumes and nuts and sometimes with style 3-fid."," leaves densely scabrid, flat but appearing almost filiform, 2-6 cm long, 0.3-0.8 mm wide. ",flat,flat,checked,,,,leaf,leaves,checked
Drosera lunata,"Description: Tuberous herb to 50 cm high, usually olive green; stems erect, usually simple, sometimes shortly branched, glabrous; tubers ovoid, up to 9 mm diam., white to red (on surface), often in a papery sheath; vertical stolon 2-6 cm long. Leaves often in a flat basal rosette and cauline. Basal leaves 3-27; lamina ovate to elliptic, 1.5-5 mm long, 3-7 mm wide; petiole linear, 4-14 mm long. Cauline leaves alternate; lamina crescent-shaped with acute angles, 0.7-3 mm long, 1-4.5 mm wide; petiole 1-16 mm long. Inflorescence a 1-sided raceme 1-10-flowered; peduncle 0.5-3 cm long; pedicels 1-12 mm long. Sepals ovate, elliptic, or rhombic, 1.4-4.2 mm long, 0.6-1.8 mm wide, glabrous; margin entire to serrulate or denticulate, or partially to fully fimbriate with hairs up to 0.6 mm long. Petals obovate or cuneate, 1-6mm long, 1-3.2mm wide, white or rarely pink. Styles 3, 0.4-1mm long, divided into c. 15-30 cylindrical segments. Seeds ovoid, 0.3-0.6mm long, up to 0.3mm diam.; testa shallowly reticulate."," leaves often in a flat basal rosette and cauline. basal leaves 3-27; lamina ovate to elliptic, 1.5-5 mm long, 3-7 mm wide; petiole linear, 4-14 mm long. cauline leaves alternate; lamina crescent-shaped with acute angles, 0.7-3 mm long, 1-4.5 mm wide; petiole 1-16 mm long. ",flat,flat,checked,,,,leaf,leaves,checked
