SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Conostylis pusilla,herb,perennial,,0.02,0.06,,SEP,OCT,,
Conostylis resinosa,herb,perennial,,0.15,0.4,,AUG,SEP,,
Conostylis robusta,herb,perennial,,0.15,0.42,,AUG,SEP,,
Conostylis rogeri,herb,perennial,,0.025,0.05,,SEP,SEP,,
Conostylis seminuda,herb,perennial,,,0.3,,SEP,OCT,,
Conostylis seorsiflora,herb,perennial,,0.02,0.16,,SEP,DEC,,
Conostylis serrulata,herb,perennial,,0.1,0.4,,AUG,OCT,,
Conostylis setigera,herb,perennial,,0.05,0.36,,AUG,NOV,,
Conostylis setosa,herb,perennial,,0.15,0.3,,SEP,NOV,,
Conostylis stylidioides,herb,perennial,,,0.3,,AUG,SEP,,
Conostylis teretifolia,herb,perennial,,0.06,0.2,,AUG,SEP,,
Conostylis teretiuscula,herb,perennial,,0.1,0.4,,JUL,SEP,,
Conostylis tomentosa,herb,perennial,,,0.2,,JUL,AUG,,
Conostylis vaginata,herb,perennial,,0.04,0.2,0.3,SEP,OCT,,
Conostylis villosa,herb,perennial,,0.1,0.2,,SEP,OCT,,
Conostylis wonganensis,herb,perennial,,0.08,0.17,,JUL,SEP,,
Conothamnus aureus,shrub,perennial assumed,,0.15,1,,8,11,,
Conothamnus neglectus,shrub,perennial assumed,,0.2,1,,7,9,,
Conothamnus trinervis,shrub,perennial assumed,,0.15,1,1.5,8,10,,
Convolvulus angustissimus,herb,perennial,,0.02,0.6,2,JAN,DEC,,
Convolvulus clementii,herb,,,,,,,,,
Convolvulus recurvatus,herb,perennial,,,,,AUG,OCT,,
Convolvulus remotus,climber/herb,perennial,,,,,SEP,DEC,,
Coopernookia georgei,shrub,perennial assumed,,0.6,1.7,,JUL,NOV,,
Coopernookia polygalacea,shrub,perennial assumed,,0.2,0.7,,AUG,NOV,,
Coopernookia strophiolata,shrub,perennial assumed,,0.3,1.2,,MAY,MAR,,
Corchorus aestuans,herb,annual/perennial,,0.02,0.6,1,JAN,OCT,,
Corchorus capsularis,herb,,,,1.5,,,,,
Corchorus carnarvonensis,shrub,perennial assumed,,,0.5,,MAY,OCT,,
Corchorus congener,shrub,perennial assumed,,,0.6,,APR,NOV,,
Corchorus crozophorifolius,shrub,perennial assumed,,0.3,1,,MAY,SEP,,
Corchorus elachocarpus,shrub,perennial assumed,,0.25,0.6,,MAR,SEP,,
Corchorus fascicularis,herb/shrub,perennial,,,0.1,,APR,MAY,,
Corchorus incanus,shrub,perennial assumed,,,1,,FEB,OCT,,
Corchorus laniflorus,shrub,perennial assumed,,0.3,0.7,1.2,MAR,OCT,,
Corchorus lasiocarpus,herb,perennial,,,0.5,,MAY,AUG,,
Corchorus leptocarpus,shrub,perennial assumed,0.3,0.5,2,,JAN,NOV,,
Corchorus macropetalus,herb,annual/perennial,,0.15,1,,MAR,JUL,,
Corchorus mitchellensis,shrub,perennial assumed,,,1,,FEB,FEB,,
Corchorus parviflorus,shrub,perennial assumed,,0.3,0.9,1.6,APR,OCT,,
Corchorus puberulus,shrub,perennial assumed,,1,1.5,,MAY,MAY,,
Corchorus pumilio,herb/shrub,,,0.1,0.3,0.7,MAR,SEP,,
Corchorus sidoides,shrub,perennial assumed,,0.17,1,1.5,JAN,DEC,,
Corchorus tectus,shrub,perennial assumed,,0.4,0.7,,MAR,AUG,,
Corchorus tridens,herb,annual,0.01,0.1,0.6,,JAN,JUN,,
Corchorus trilocularis,herb,perennial,,,,,MAY,JUN,,
Corchorus walcottii,shrub,perennial assumed,,,1.2,,JUN,NOV,,
Cordia dichotoma,shrub/tree,perennial assumed,,3,10,,NOV,MAR,,
Cordia subcordata,shrub/tree,perennial assumed,,2,4,,FEB,APR,,
Correa backhouseana,shrub,perennial assumed,,0.5,2.5,,JUN,NOV,,
Corunastylis tepperi,herb,,,,0.2,,,,,
Corybas abditus,herb,perennial,,0.01,0.02,,OCT,NOV,,
Corybas despectans,herb,perennial,,0.01,0.02,,JUL,SEP,,
Corybas limpidus,herb,perennial,,,0.01,,AUG,SEP,,
Corybas recurvus,herb,perennial,,0.01,0.03,,JUL,SEP,,
Corynanthera flava,shrub,perennial assumed,,0.3,1.75,,9,2,,
Corynotheca asperata,herb,perennial,,,0.6,,,,,
Corynotheca flexuosissima,herb/shrub,perennial,,,0.6,,JAN,SEP,,
Corynotheca micrantha,herb/shrub,perennial,,0.1,1.3,,JUN,JAN,,
Corynotheca pungens,herb/shrub,perennial,,0.3,1,,FEB,AUG,,
Cosmelia rubra,shrub,perennial assumed,,0.3,2.5,,JAN,DEC,,
Cotula australis,herb,annual,,0.02,0.2,,FEB,NOV,,
Cotula cotuloides,herb,annual,,0.04,0.2,,SEP,DEC,,
Craspedia haplorrhiza,herb,annual/perennial,,,0.15,,JUN,DEC,,
Craspedia variabilis,herb,annual/perennial,,0.1,0.6,,AUG,DEC,,
Crassula closiana,herb,annual,,0.01,0.1,,SEP,OCT,,
Crassula colligata,herb,annual,,,0.16,,,,,
Crassula colorata,herb,annual,,0.015,0.15,,AUG,OCT,,
Crassula decumbens,herb,annual,,,,,JUL,OCT,,
Crassula exserta,herb,annual,,0.01,0.15,,AUG,DEC,,
Crassula extrorsa,herb,,,,0.08,,,,,
Crassula peduncularis,herb,annual,,0.01,0.5,,SEP,SEP,,
Crassula tetramera (Crassula tetramera (Toelken) A.Druce & Sykes ),herb,annual,,,0.1,,,,,
Cratystylis centralis,shrub,perennial assumed,,,1,,,,,
Cratystylis conocephala,shrub,perennial assumed,,0.25,0.5,1.5,SEP,DEC,,
Cratystylis microphylla,shrub,perennial assumed,,0.3,1,,OCT,DEC,,
Cratystylis subspinescens,shrub,perennial assumed,,,1.5,,SEP,JAN,,
Crenidium spinescens,shrub,perennial assumed,,0.8,2,,SEP,NOV,,
Cressa australis,herb,,,0.12,0.2,,APR,OCT,,
Crinum angustifolium,herb,perennial,,,1,,OCT,JAN,,
Crinum flaccidum,herb,perennial,,,1,,OCT,MAY,,
Crinum uniflorum,herb,perennial,,,0.8,,DEC,MAR,,
Croninia kingiana,shrub,perennial assumed,,0.3,1.5,,JUL,NOV,,
Crosslandia setifolia,graminoid,annual,,0.1,0.4,,JAN,AUG,,
Croton aridus,shrub,perennial assumed,,,1.5,,AUG,AUG,,
Croton habrophyllus,shrub/tree,perennial assumed,,,4,,AUG,JAN,,
Croton schultzii,shrub,perennial assumed,,,4,,NOV,JAN,,
Croton tomentellus,shrub,perennial assumed,,,4,,NOV,MAR,,
Crowea angustifolia,shrub,perennial assumed,,0.3,3.5,,SEP,DEC,,
Cryptandra apetala,shrub,perennial assumed,,0.15,0.5,,AUG,OCT,,
Cryptandra arbutiflora,shrub,perennial assumed,,0.05,1,,MAY,NOV,,
Cryptandra aridicola,shrub,perennial assumed,,0.3,0.8,,JUL,SEP,,
Cryptandra beverleyensis,shrub,perennial assumed,,0.4,1.3,,,,,
Cryptandra congesta,shrub,perennial assumed,,0.1,0.3,,APR,OCT,,
Cryptandra connata,shrub,perennial assumed,,0.6,1.5,,MAR,AUG,,
Cryptandra craigiae,shrub,perennial assumed,,0.1,0.25,,,,,
Cryptandra crispula,shrub,perennial assumed,,0.25,0.9,,,,,
Cryptandra dielsii,shrub,perennial assumed,,0.2,0.6,,JUL,SEP,,
Cryptandra distigma,shrub,perennial assumed,,0.5,1.5,,APR,SEP,,
Cryptandra exserta,shrub,perennial assumed,,,0.5,,,,,
Cryptandra glabriflora,shrub,perennial assumed,0.05,0.1,0.5,,MAY,AUG,,
Cryptandra graniticola,shrub,perennial assumed,,0.4,1.5,,JUL,OCT,,
Cryptandra inconspicua,shrub,perennial assumed,,,0.1,,SEP,SEP,,
Cryptandra intermedia (Cryptandra intermedia (Rye) Rye ),shrub,perennial assumed,,0.2,0.7,,,,,
Cryptandra intonsa,shrub,perennial assumed,,0.3,0.6,,SEP,DEC,,
Cryptandra intratropica,shrub,perennial assumed,,0.5,2.5,,MAR,JUN,,
Cryptandra leucopogon,shrub,perennial assumed,,0.05,0.2,0.35,JUL,OCT,,
Cryptandra micrantha,shrub,perennial assumed,,0.2,0.6,1.2,APR,AUG,,
Cryptandra minutifolia,shrub,perennial assumed,,0.2,0.7,1.2,MAR,SEP,,
Cryptandra monticola,shrub,perennial assumed,,0.5,1.5,,APR,AUG,,
Cryptandra multispina,shrub,perennial assumed,,0.1,0.7,,,,,
Cryptandra mutila,shrub,perennial assumed,,,0.6,,JUL,AUG,,
Cryptandra myriantha,shrub,perennial assumed,,0.1,0.6,1.5,MAY,OCT,,
Cryptandra nola,shrub,perennial assumed,,0.3,1,,JUN,AUG,,
Cryptandra nutans,shrub,perennial assumed,,0.1,0.6,,APR,SEP,,
Cryptandra pendula,shrub,perennial assumed,,,0.75,,,,,
Cryptandra polyclada,shrub,perennial assumed,,0.1,0.7,,JAN,OCT,,
Cryptandra pungens,shrub,perennial assumed,0.1,0.2,1,,MAY,NOV,,
Cryptandra recurva,shrub,perennial assumed,,0.15,0.8,1,JUN,NOV,,
Cryptandra scoparia,shrub,perennial assumed,,0.2,0.9,,MAY,AUG,,
Cryptandra spyridioides,shrub,perennial assumed,,0.1,0.8,,MAY,AUG,,
Cryptandra stellulata,shrub,perennial assumed,,0.3,1,,,,,
Cryptandra wilsonii,shrub,perennial assumed,,0.15,0.9,,MAY,AUG,,
Cryptocarya cunninghamii,tree,perennial assumed,,,15,,AUG,OCT,,
Cryptostylis ovata,herb,perennial,,0.25,0.7,,NOV,APR,,
Cucumis melo,climber/herb,annual,,,,,FEB,OCT,,
Cupaniopsis anacardioides,tree,perennial assumed,,,11,,JUN,JUL,,
Cuphonotus andraeanus,herb,annual,,0.01,0.25,,MAY,SEP,,
Cuphonotus humistratus,herb,annual,,,0.25,,,,,
Curculigo ensifolia,herb,perennial,,0.1,0.5,,JAN,APR,,
Cuscuta australis,herb,annual,,,,,NOV,MAR,,
Cuscuta chinensis,shrub,perennial assumed,,,,,,,,
Cuscuta victoriana,climber/herb,annual,,,,,MAR,AUG,,
Cyanicula amplexans,herb,perennial,,0.08,0.2,,AUG,SEP,,
Cyanicula aperta,herb,perennial,,,0.15,,AUG,SEP,,
Cyanicula ashbyae,herb,perennial,,0.08,0.15,,OCT,NOV,,
Cyanicula deformis (Pheladenia deformis (R.Br.) D.L.Jones & M.A.Clem. ),herb,perennial,,,0.15,,MAY,SEP,,
Cyanicula fragrans,herb,perennial,,0.06,0.12,,AUG,SEP,,
Cyanicula gemmata,herb,perennial,,0.04,0.15,,SEP,OCT,,
Cyanicula gertrudiae,herb,perennial,,0.05,0.15,,SEP,NOV,,
Cyanicula ixioides,herb,perennial,,0.04,0.15,,AUG,OCT,,
Cyanicula nikulinskyae,herb,,,,,,,,,
Cyanicula sericea,herb,perennial,,0.15,0.4,,AUG,OCT,,
Cyanostegia angustifolia,shrub,perennial assumed,0.3,0.5,2,,JUL,NOV,,
Cyanostegia corifolia,shrub,perennial assumed,,0.5,1.2,1.5,SEP,DEC,,
Cyanostegia cyanocalyx,shrub,perennial assumed,,0.5,2.5,,MAY,OCT,,
Cyanostegia lanceolata,shrub,perennial assumed,,0.5,2,3,AUG,DEC,,
Cyanostegia microphylla,shrub,perennial assumed,,0.2,0.7,1,SEP,NOV,,
Cyanotis axillaris,herb,perennial,,0.1,0.7,,FEB,JUL,,
Cyanthillium cinereum,herb,annual/perennial,,0.2,1.1,,JAN,DEC,,
Cyathochaeta avenacea,graminoid,perennial,,0.4,1.6,,NOV,MAR,,
Cyathochaeta clandestina,graminoid,perennial,,0.4,2,,OCT,DEC,,
Cyathochaeta equitans,graminoid,perennial,,0.6,1.2,,JAN,FEB,,
Cyathochaeta stipoides,graminoid,perennial,0.25,0.35,1,,OCT,JAN,,
Cyathochaeta teretifolia,graminoid,perennial,,,2,,,,,
Cyathostemma glabrum,climber,,,,10,,,,,
Cyathostemma micranthum,climber,,,,10,,JAN,FEB,,
Cyathostemon ambiguus,shrub,perennial assumed,,,,,,,,
Cyathostemon blackettii,shrub,perennial assumed,,,,,,,,
Cyathostemon heterantherus,shrub,perennial assumed,,,,,,,,
Cyathostemon tenuifolius,shrub,perennial assumed,,,0.9,,9,11,,
Cymbidium canaliculatum,herb,perennial,,0.03,0.07,,NOV,FEB,,
Cymbonotus preissianus,herb,perennial,,,,,,,,
Cymodocea angustata,herb,perennial,,,,,SEP,NOV,,
Cymodocea serrulata,herb,perennial,,,,,,,,
Cynanchum carnosum,climber,,,,10,,JAN,AUG,,
Cynanchum christineae,herb,perennial,,,0.3,,,,,
Cynanchum floribundum,shrub,perennial assumed,,0.1,2,,MAR,OCT,,
Cynanchum pedunculatum,climber/herb,perennial,,,,,JAN,NOV,,
Cynanchum puberulum,climber/herb,perennial,,,,,JAN,APRIL,,
Cyperus alopecuroides,graminoid,perennial,,1,1.5,,MAY,JUL,,
Cyperus alterniflorus,graminoid,perennial,,0.3,2,,JUN,OCT,,
Cyperus aquatilis,graminoid,annual,,0.035,0.05,,APR,AUG,,
Cyperus astartodes,graminoid,perennial,0.3,0.5,1,,APR,APR,,
Cyperus betchei,graminoid,perennial,,0.7,1.2,,,,,
Cyperus bifax,graminoid,perennial,,0.3,1,,JAN,AUG,,
Cyperus blakeanus,graminoid,perennial,,0.25,0.55,,MAY,MAY,,
Cyperus breviculmis,graminoid,annual,,0.05,0.2,,APR,AUG,,
Cyperus bulbosus,graminoid,perennial,,0.08,0.4,,JAN,JUN,,
Cyperus carinatus,graminoid,perennial,,0.5,1,,MAR,AUG,,
Cyperus castaneus,graminoid,annual/perennial,,0.01,0.7,1,FEB,JUL,,
Cyperus centralis,graminoid,perennial,,0.4,1.1,,,,,
Cyperus concinnus,graminoid,perennial,,0.2,0.8,,,,,
Cyperus conicus,graminoid,perennial,,0.2,1,,MAR,JUL,,
Cyperus cracens,graminoid,perennial,,0.35,0.8,,,,,
Cyperus crispulus,graminoid,perennial,,0.2,0.4,,,,,
Cyperus cristulatus,graminoid,annual,,0.1,0.3,,APR,JUL,,
Cyperus cunninghamii,graminoid,perennial,,0.3,0.7,1,MAR,AUG,,
Cyperus cuspidatus,graminoid,annual,,0.025,0.15,,FEB,AUG,,
Cyperus dactylotes,graminoid,perennial,,0.4,1.2,,MAY,JUL,,
Cyperus difformis,graminoid,annual,,0.05,0.7,,FEB,SEP,,
Cyperus digitatus,graminoid,,,,1,,,,,
Cyperus flaccidus,graminoid,annual,,0.1,0.2,,MAR,APR,,
Cyperus gymnocaulos,graminoid,perennial,,0.35,1,,JUL,MAR,,
Cyperus haspan,graminoid,perennial,,0.2,0.6,,FEB,SEP,,
Cyperus hesperius,graminoid,perennial,,0.3,0.4,,,,,
Cyperus holoschoenus,graminoid,perennial,0.4,0.7,1.5,,APR,AUG,,
Cyperus iria,graminoid,annual,,0.05,0.7,,FEB,AUG,,
Cyperus ixiocarpus,graminoid,perennial,,0.45,1,,FEB,JUL,,
Cyperus javanicus,graminoid,perennial,,0.6,1.2,,JAN,AUG,,
Cyperus latzii,graminoid,annual/perennial,,0.3,0.5,,JUN,JUN,,
Cyperus macrostachyos,graminoid,perennial,,0.3,0.15,,FEB,JUL,,
Cyperus microcephalus,graminoid,perennial,,0.2,1.2,,JAN,JUL,,
Cyperus nervulosus,graminoid,annual,,0.03,0.2,,FEB,JUL,,
Cyperus nutans,graminoid,perennial,,,1.5,,FEB,JUL,,
Cyperus orgadophilus,graminoid,perennial,,0.3,0.8,,,,,
Cyperus oxycarpus,graminoid,perennial,,0.3,0.9,,MAR,APR,,
Cyperus portae-tartari,graminoid,annual/perennial,,0.2,0.6,0.9,FEB,MAR,,
Cyperus pulchellus,graminoid,perennial,,0.08,0.3,,JAN,JUL,,
Cyperus pygmaeus,graminoid,annual,,,0.05,,JUL,AUG,,
Cyperus rigidellus (Cyperus rigidellus (Benth.) J.M.Black ),graminoid,annual/perennial,0.01,0.05,0.4,,APR,NOV,,
Cyperus scariosus,graminoid,perennial,,0.3,1.2,,APR,AUG,,
Cyperus sexflorus,graminoid,perennial,,0.3,0.75,,JAN,JUL,,
Cyperus squarrosus,graminoid,annual,,0.03,0.25,,FEB,AUG,,
Cyperus sulcinux,graminoid,annual,,0.05,0.3,0.4,,,,
Cyperus tenuispica,graminoid,annual,,0.05,0.4,,FEB,AUG,,
Cyperus vaginatus,graminoid,perennial,,0.3,2,,FEB,NOV,,
Cyperus victoriensis,graminoid,perennial,,,0.6,,,,,
Cyperus viscidulus,graminoid,perennial,,0.3,1.15,,FEB,AUG,,
Cyperus zollingeri,graminoid,annual,,0.1,0.4,,APR,MAY,,
Cyphanthera miersiana,shrub,perennial assumed,,0.4,1,,APR,OCT,,
Cyphanthera odgersii,shrub,perennial assumed,,0.5,2.5,,JUL,DEC,,
Cyphanthera racemosa,shrub,perennial assumed,,0.3,1.2,,APR,DEC,,
Cypselocarpus haloragoides,herb/shrub,,,0.02,0.3,,AUG,OCT,,
Cyrtostylis huegelii,herb,perennial,,0.1,0.3,,JUL,SEP,,
Cyrtostylis robusta,herb,perennial,,0.1,0.3,,JUN,AUG,,
Cyrtostylis tenuissima,herb,perennial,,0.05,0.2,,SEP,NOV,,
Cytogonidium leptocarpoides,herb,perennial,,0.2,0.5,,OCT,MAY,,
Damasonium minus,herb,perennial,,,0.5,,"OCT, JAN","DEC, FEB",,
Dampiera alata,herb,perennial,,0.1,0.6,,JUL,DEC,,
Dampiera altissima,herb,perennial,,0.1,0.5,,JUN,OCT,,
Dampiera angulata,herb/shrub,perennial,,0.07,0.6,,JUN,DEC,,
Dampiera anonyma,herb,perennial,,,0.5,1,JUN,SEP,,
Dampiera atriplicina,shrub,perennial assumed,,,0.5,1.2,MAY,JUL,,
Dampiera candicans,shrub,perennial assumed,,0.3,0.7,1,MAR,OCT,,
Dampiera carinata,herb,perennial,,0.1,0.25,,OCT,APR,,
Dampiera cinerea,shrub,perennial assumed,,0.2,0.7,1,MAR,OCT,,
Dampiera conospermoides,shrub,perennial assumed,,0.7,1.2,,APR,AUG,,
Dampiera coronata,herb,perennial,,0.2,0.5,,JUL,NOV,,
Dampiera decurrens,herb,perennial,,0.1,1,,SEP,JAN,,
Dampiera deltoidea,herb,perennial,,0.12,0.4,,SEP,NOV,,
Dampiera dentata,herb,perennial,,0.2,0.5,0.8,JUL,JAN,,
Dampiera diversifolia,herb/shrub,perennial,,0.3,0.75,,SEP,DEC,,
Dampiera eriantha,herb,perennial,,,0.6,,,,,
Dampiera eriocephala,herb,perennial,,0.1,0.4,,SEP,JAN,,
Dampiera fasciculata,herb/shrub,perennial,,0.2,0.6,,AUG,NOV,,
Dampiera fitzgeraldensis,herb/shrub,perennial,,,0.7,,,,,
Dampiera glabrescens,herb,perennial,,0.2,0.5,0.9,SEP,SEP,,
Dampiera haematotricha,herb/shrub,perennial,,0.1,0.6,,JUL,NOV,,
Dampiera hederacea,herb,perennial,,0.2,1,2,JUN,JAN,,
Dampiera heteroptera,herb/shrub,perennial,,0.3,0.6,,SEP,OCT,,
Dampiera incana,herb/shrub,perennial,,0.15,0.6,,FEB,DEC,,
Dampiera juncea,herb/shrub,perennial,,0.1,0.6,,JUL,NOV,,
Dampiera krauseana,shrub,perennial assumed,,0.3,0.6,,JUN,NOV,,
Dampiera latealata,herb/shrub,perennial,,0.3,1,,AUG,NOV,,
Dampiera lavandulacea,shrub,perennial assumed,,,0.9,,JUL,NOV,,
Dampiera leptoclada,herb,perennial,,0.2,0.6,1,AUG,NOV,,
Dampiera lindleyi,herb,perennial,,0.2,0.7,,JUN,OCT,,
Dampiera linearis,herb,perennial,,0.15,0.6,,JUL,DEC,,
Dampiera loranthifolia,herb,perennial,,0.2,0.7,,MAY,JAN,,
Dampiera luteiflora,herb/shrub,perennial,,0.2,0.5,,SEP,JAN,,
Dampiera metallorum,herb,perennial,,,0.5,,APR,OCT,,
Dampiera obliqua,herb/shrub,perennial,,0.3,0.7,,AUG,NOV,,
Dampiera oligophylla,herb/shrub,perennial,,0.25,0.6,,JUN,JAN,,
Dampiera orchardii,herb,perennial,,0.2,0.4,,,,,
Dampiera parvifolia,herb,perennial,0.1,0.2,0.6,,AUG,FEB,,
Dampiera pedunculata,herb,perennial,,0.15,0.7,,AUG,NOV,,
Dampiera plumosa,herb,perennial,,0.15,0.2,,OCT,OCT,,
Dampiera ramosa,herb,perennial,,0.15,0.4,,SEP,OCT,,
Dampiera roycei,herb/shrub,perennial,,0.15,0.4,,JUN,OCT,,
Dampiera sacculata,herb/shrub,perennial,,0.1,0.4,,MAY,NOV,,
Dampiera salahae,herb/shrub,perennial,,0.15,0.5,,JUN,NOV,,
Dampiera scaevolina,herb/shrub,perennial,,0.2,0.5,,SEP,NOV,,
Dampiera sericantha,herb,perennial,,0.05,0.3,0.6,MAY,DEC,,
Dampiera spicigera,shrub,perennial assumed,,0.1,0.8,,JUL,DEC,,
Dampiera stenophylla,herb/shrub,perennial,,0.2,0.6,,JUL,NOV,,
Dampiera stenostachya,shrub,perennial assumed,,0.3,0.9,,AUG,NOV,,
Dampiera tenuicaulis,shrub,perennial assumed,,0.1,0.4,,AUG,NOV,,
Dampiera tephrea,herb/shrub,perennial,,0.3,0.6,,JUL,JUL,,
Dampiera teres,shrub,perennial assumed,,0.15,0.6,,AUG,NOV,,
Dampiera tomentosa,shrub,perennial assumed,,0.25,1,,AUG,DEC,,
Dampiera trigona,herb,perennial,,0.05,0.5,,AUG,JAN,,
Dampiera triloba,herb/shrub,perennial,,,0.5,,AUG,DEC,,
Dampiera wellsiana,herb,perennial,,0.05,0.25,0.4,AUG,JAN,,
Darwinia acerosa,shrub,perennial assumed,,0.2,0.6,,9,11,,
Darwinia apiculata,shrub,perennial assumed,,0.4,0.5,,10,10,,
Darwinia capitellata,shrub,perennial assumed,,0.3,1.3,,8,12,,
Darwinia carnea,shrub,perennial assumed,,0.2,0.45,,10,12,,
Darwinia chapmaniana,shrub,perennial assumed,,,,,,,,
Darwinia citriodora,shrub,perennial assumed,,0.2,1.5,3,5,12,,
Darwinia collina,shrub,perennial assumed,,,,,,,,
Darwinia diosmoides,shrub,perennial assumed,,0.3,1.2,,9,11,,
Darwinia divisa,shrub,perennial assumed,,,,,,,,
Darwinia ferricola,shrub,perennial assumed,,,,,,,,
Darwinia foetida,shrub,perennial assumed,,,,,,,,
Darwinia helichrysoides,shrub,perennial assumed,,0.2,0.5,,8,11,,
Darwinia hortiorum,shrub,perennial assumed,,,,,,,,
Darwinia hypericifolia,shrub,perennial assumed,,0.4,1,,6,11,,
Darwinia leiostyla,shrub,perennial assumed,,0.3,1.5,,all year,all year,,
Darwinia luehmannii,shrub,perennial assumed,,0.1,0.5,,5,11,,
Darwinia macrostegia,shrub,perennial assumed,,0.3,0.9,1.8,5,11,,
Darwinia masonii,shrub,perennial assumed,,1,2,,7,11,,
Darwinia meeboldii,shrub,perennial assumed,,0.5,3,,8,11,,
Darwinia neildiana,shrub,perennial assumed,,0.2,1,,8,12,,
Darwinia nubigena,shrub,perennial assumed,,,,,,,,
Darwinia oederoides,shrub,perennial assumed,,0.1,0.3,,10,1,,
Darwinia oldfieldii,shrub,perennial assumed,,0.15,0.5,1,8,11,,
Darwinia oxylepis,shrub,perennial assumed,,0.6,1.5,,8,11,,
Darwinia pauciflora,shrub,perennial assumed,,0.3,1.5,,3,10,,
Darwinia peduncularis,shrub,perennial assumed,,,,,,,,
Darwinia pimelioides,shrub,perennial assumed,,0.25,0.5,1,9,10,,
Darwinia pinifolia,shrub,perennial assumed,,0.1,0.5,,9,2,,
Darwinia polycephala,shrub,perennial assumed,,0.1,0.5,,3,9,,
Darwinia polychroma,shrub,perennial assumed,,,,,,,,
Darwinia purpurea,shrub,perennial assumed,,0.1,0.5,0.7,7,12,,
Darwinia salina,shrub,perennial assumed,,,,,,,,
Darwinia sanguinea,shrub,perennial assumed,,0.05,0.2,,8,12,,
Darwinia speciosa,shrub,perennial assumed,,0.1,0.3,,5,11,,
Darwinia squarrosa,shrub,perennial assumed,,0.2,1,,9,12,,
Darwinia thymoides,shrub,perennial assumed,,0.1,0.3,,7,1,,
Darwinia vestita,shrub,perennial assumed,,0.2,1,,7,12,,
Darwinia virescens,shrub,perennial assumed,,0.05,0.3,,8,1,,
Darwinia whicherensis,shrub,perennial assumed,,,,,,,,
Darwinia wittwerorum,shrub,perennial assumed,,0.3,1,,9,12,,
Dasypogon bromeliifolius,herb,perennial,,0.3,1,1.5,SEP,JAN,,
Dasypogon hookeri,,perennial,,0.5,3,,AUG,JAN,,
Dasypogon obliquifolius,herb,perennial,,0.3,1,,SEP,OCT,,
Daucus glochidiatus,herb,annual,0.02,0.05,0.2,0.6,AUG,JAN,,
Decaisnina angustata,shrub,perennial assumed,,,,,APR,JAN,,
Decaisnina biangulata,shrub,perennial assumed,,,,,APR,AUG,,
Decaisnina brittenii,shrub,perennial assumed,,,,,MAY,JUN,,
Decaisnina signata,shrub,perennial assumed,,,,,AUG,AUG,,
Decaschistia byrnesii,shrub,perennial assumed,,,2,,MAY,JUN,,
Decaschistia occidentalis,shrub,perennial assumed,,0.6,1,,APR,NOV,,
Decazesia hecatocephala,herb,annual,,0.05,0.2,,AUG,DEC,,
Deeringia amaranthoides,climber,,,,,,AUG,AUG,,
Deeringia arborescens,climber,,,,,,,,,
Dendrobium dicuphum (Dendrobium affine (Decne.) Steud.),herb,perennial,,0.05,0.35,,MAY,JUN,,
Dendrophthoe acacioides,shrub,perennial assumed,,,,,JAN,DEC,,
Dendrophthoe glabrescens,shrub,perennial assumed,,,,,JUN,DEC,,
Dendrophthoe odontocalyx,shrub,perennial assumed,,,,,JUN,AUG,,
Denhamia obscura,shrub/tree,perennial assumed,,1,9,,APR,SPR,,
Dentella asperata,herb,perennial,,,,,APR,MAY,,
Dentella minutissima,herb,perennial,,,,,APR,OCT,,
Dentella misera,herb,perennial,,,,,MAR,AUG,,
Dentella repens,herb,perennial,,,,,FEB,AUG,,
Desmocladus asper,herb,perennial,,0.05,0.3,,AUG,NOV,,
Desmocladus austrinus,herb,perennial,,0.3,0.6,,AUG,NOV,,
Desmocladus biformis,herb,perennial,,0.1,0.2,,SEP,OCT,,
Desmocladus castaneus,herb,,,0.03,0.16,0.3,AUG,SEP,,
Desmocladus diacolpicus,graminoid,,,,,,,,,
Desmocladus elongatus,herb,perennial,,0.25,0.5,,AUG,DEC,,
Desmocladus fasciculatus,herb,perennial,,0.2,0.3,,AUG,DEC,,
Desmocladus flexuosus,herb,perennial,,0.2,1.5,,JUL,OCT,,
Desmocladus glomeratus,herb,perennial,,,0.4,,AUG,OCT,,
Desmocladus lateriticus,herb,perennial,,,,,,,,
Desmocladus myriocladus,herb,perennial,,0.15,0.3,,SEP,NOV,,
Desmocladus parthenicus,herb,perennial,,0.1,0.5,,,,,
Desmocladus quiricanus,herb,perennial,,0.2,0.3,,,,,
Desmocladus semiplanus,herb,perennial,,,0.15,,AUG,NOV,,
Desmocladus virgatus,herb,perennial,,0.2,0.6,,AUG,NOV,,
Dianella brevicaulis,herb,perennial,,,0.5,,OCT,DEC,,
Dianella longifolia,herb,perennial,,,0.8,,JAN,MAR,,
Dianella revoluta,herb,perennial,,0.3,1.5,,AUG,APR,,
Diaspasis filifolia,herb/shrub,,,0.15,0.5,0.8,SEP,MAY,,
Dicarpidium monoicum,shrub,perennial assumed,,0.2,0.6,,JUN,AUG,,
Dichondra repens,herb,perennial,,,,,SEP,OCT,,
Dichopogon capillipes,herb,perennial,,0.3,1,1.5,SEP,MAR,,
Dichopogon preissii,herb,perennial,,,0.5,,AUG,OCT,,
Dichopogon tyleri,herb,perennial,,,0.6,,AUG,NOV,,
