Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Drosera andersoniana,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera androsacea,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera arcturi,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera auriculata,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera bulbosa,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera derbyensis,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera erythrorhiza,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera glanduligera,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera hirsuta,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera huegelii,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera indica,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera lanata,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera menziesii,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera moorei,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera pallida,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera peltata,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera petiolaris,Droseraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Drosera prostrata,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera stolonifera,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera subhirtella,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Drosera whittakeri,Droseraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Drummondita hassellii,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Duma coccoloboides,Polygonaceae,C3,NA,C3,TERN SIA,NA,NA,138.8167,-29.5305,site_at_-29.53_deg_lat_138.817_deg_long
Duma florulenta,Polygonaceae,C3,NA,C3,TERN SIA,NA,NA,135.6167917,-25.12393333,site_at_-25.124_deg_lat_135.617_deg_long
Dysphania cristata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,140.5856361,-33.99453056,site_at_-33.995_deg_lat_140.586_deg_long
Dysphania kalpari,Chenopodiaceae,C3,NA,C3,Pate et al 1998,NA,NA,NA,NA,no site data
Dysphania melanocarpa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,119.2023583,-23.21400833,site_at_-23.214_deg_lat_119.202_deg_long
Dysphania rhadinostachya,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,116.9739917,-21.67714167,site_at_-21.677_deg_lat_116.974_deg_long
Dysphania truncata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,133.4154944,-23.930625,site_at_-23.931_deg_lat_133.415_deg_long
Ecdeiocolea monostachya,Ecdeiocoleaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Echinochloa colona,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Echium plantagineum,Boraginaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ectrosia gulliveri,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Ectrosia leporina,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Ectrosia scabrida,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Ehretia saligna,Boraginaceae,C3,NA,C3,TERN SIA,NA,NA,132.2943639,-13.54561111,site_at_-13.546_deg_lat_132.294_deg_long
Ehrharta longiflora,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Einadia hastata,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Einadia nutans,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Elaeocarpus reticulatus,Elaeocarpaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eleocharis acuta,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eleocharis caespitosissima,Cyperaceae,C4,NA,C4,Bruhl and Wilson 2007,NA,NA,NA,NA,no site data
Eleocharis pallens,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Empodisma minus,Restionaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Enchylaena lanata,Chenopodiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Enchylaena tomentosa,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Enekbatus cristatus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Enekbatus cryptandroides,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Enekbatus eremaeus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Enneapogon avenaceus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon caerulescens,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon clelandii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon cylindricus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon gracilis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon intermedius,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon lindleyanus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon nigricans,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon polyphyllus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon purpurascens,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enneapogon robustissimus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enteropogon acicularis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enteropogon minutus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Enteropogon ramosus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Entolasia stricta,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris browniae,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Epacris celata,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris glacialis,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris gunnii,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris microphylla,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris paludosa,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epacris pulchella,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epilobium gunnianum,Onagraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Epilobium hirtigerum,Onagraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eragrostis barrelieri,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis basedowii,Poaceae,C4,NA,C4,TERN SIA,NA,NA,135.0155972,-26.27460833,site_at_-26.275_deg_lat_135.016_deg_long
Eragrostis cilianensis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis concinna,Poaceae,C4,NA,C4,TERN SIA,NA,NA,133.8822528,-14.6768,site_at_-14.677_deg_lat_133.882_deg_long
Eragrostis cumingii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis curvula,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis desertorum,Poaceae,C4,NA,C4,TERN SIA,NA,NA,119.2379306,-23.18566389,site_at_-23.186_deg_lat_119.238_deg_long
Eragrostis dielsii,Poaceae,C4,NA,C4,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Eragrostis elongata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis eriopoda,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis falcata,Poaceae,C4,NA,C4,TRY,NA,NA,132.9494417,-24.36466389,site_at_-24.365_deg_lat_132.949_deg_long
Eragrostis fallax,Poaceae,C4,NA,C4,TRY,NA,NA,136.9389,-17.75178889,site_at_-17.752_deg_lat_136.939_deg_long
Eragrostis lacunaria,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis laniflora,Poaceae,C4,NA,C4,TERN SIA,NA,NA,133.4679222,-24.12430278,site_at_-24.124_deg_lat_133.468_deg_long
Eragrostis leptocarpa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis parviflora,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis pergracilis,Poaceae,C4,NA,C4,TERN SIA,NA,NA,118.2258333,-22.63587778,site_at_-22.636_deg_lat_118.226_deg_long
Eragrostis pilosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis schultzii,Poaceae,C4,NA,C4,TERN SIA,NA,NA,137.1579611,-17.35489722,site_at_-17.355_deg_lat_137.158_deg_long
Eragrostis setifolia,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis speciosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eragrostis stagnalis,Poaceae,C4,NA,C4,TERN SIA,NA,NA,134.3554806,-14.17696111,site_at_-14.177_deg_lat_134.355_deg_long
Eragrostis tenellula,Poaceae,C4,NA,C4,TERN SIA,NA,NA,133.4389333,-17.35820833,site_at_-17.358_deg_lat_133.439_deg_long
Eragrostis xerophila,Poaceae,C3,NA,C3,TERN SIA,NA,NA,135.2584222,-25.47658889,site_at_-25.477_deg_lat_135.258_deg_long
Eremaea ebracteata,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Eremaea pauciflora,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophea spinosa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,133.4360389,-23.94118611,site_at_-23.941_deg_lat_133.436_deg_long
Eremophila alternifolia,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila bignoniiflora,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila bowmanii,Scrophulariaceae,C3,NA,C3,TRY,Pate et al 1998,NA,NA,NA,no site data
Eremophila caperata,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila cordatisepala,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,138.1930944,-23.188075,site_at_-23.188_deg_lat_138.193_deg_long
Eremophila cuneifolia,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,119.0129083,-22.30292222,site_at_-22.303_deg_lat_119.013_deg_long
Eremophila dempsteri,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,126.2793083,-32.06314167,site_at_-32.063_deg_lat_126.279_deg_long
Eremophila deserti,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila drummondii,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila duttonii,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila forrestii,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,120.7239639,-25.09664444,site_at_-25.097_deg_lat_120.724_deg_long
Eremophila freelingii,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,133.3763667,-24.18724167,site_at_-24.187_deg_lat_133.376_deg_long
Eremophila glabra,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila goodwinii,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,144.1828167,-31.49143889,site_at_-31.491_deg_lat_144.183_deg_long
Eremophila granitica,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila hygrophana,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,130.4461611,-29.32168889,site_at_-29.322_deg_lat_130.446_deg_long
Eremophila interstans,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila ionantha,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila jucunda,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila lanceolata,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,118.2258333,-22.63587778,site_at_-22.636_deg_lat_118.226_deg_long
Eremophila latrobei,Scrophulariaceae,C3,NA,C3,TRY,NA,Pate et al 1998,NA,NA,no site data
Eremophila longifolia,Scrophulariaceae,C3,NA,C3,TRY,NA,Pate et al 1998,NA,NA,no site data
Eremophila macdonnellii,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,133.1845722,-24.54153611,site_at_-24.542_deg_lat_133.185_deg_long
Eremophila maculata,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila margarethae,Scrophulariaceae,C3,NA,C3,Pate et al 1998;TERN SIA,NA,NA,NA,NA,no site data
Eremophila mitchellii,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila obovata,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,135.6407917,-25.09440833,site_at_-25.094_deg_lat_135.641_deg_long
Eremophila oppositifolia,Scrophulariaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Eremophila platythamnos,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila saligna,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,128.2373306,-31.88826111,site_at_-31.888_deg_lat_128.237_deg_long
Eremophila scoparia,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,141.1064667,-33.23765278,site_at_-33.238_deg_lat_141.106_deg_long
Eremophila serrulata,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,121.0137056,-28.06511111,site_at_-28.065_deg_lat_121.014_deg_long
Eremophila spuria,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eremophila sturtii,Scrophulariaceae,C3,NA,C3,TRY,Pate et al 1998,NA,NA,NA,no site data
Eremophila willsii,Scrophulariaceae,C3,NA,C3,TERN SIA,NA,NA,133.3908944,-24.12801944,site_at_-24.128_deg_lat_133.391_deg_long
Eremophila youngii,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,NA,NA,NA,no site data
Eriachne agrostidea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne aristidea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne armittii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne avenacea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne basedowii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne benthamii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne ciliata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne festucacea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne flaccida,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne glauca,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne helmsii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne lanata,Poaceae,C4,NA,C4,TERN SIA,NA,NA,118.2939361,-22.61085556,site_at_-22.611_deg_lat_118.294_deg_long
Eriachne major,Poaceae,C4,NA,C4,TERN SIA,NA,NA,133.4835667,-17.45584722,site_at_-17.456_deg_lat_133.484_deg_long
Eriachne melicacea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne mucronata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne nervosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne obtusa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne ovata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne pulchella,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne triodioides,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriachne triseta,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Ericomyrtus drummondii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ericomyrtus serpyllifolia,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Erigeron bonariense,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.4337544,-31.89335056,site_at_-31.893_deg_lat_141.434_deg_long
Eriochiton sclerolaenoides,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,141.6008031,-31.32391889,site_at_-31.324_deg_lat_141.601_deg_long
Eriochloa australiensis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Eriochloa procera,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Erodium aureum,Geraniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Erodium brachycarpum,Geraniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
